France,-10,most of French Polynesia,x
France,-10,Marquesas Islands,x
France,-10,Gambier Islands,x
France,-8,Clipperton Island,x
France,-4,Guadeloupe,x
France,-3,French Guiana,x
France,1,Metropolitan France,x
France,3,Mayotte,x
France,4,Reunion,x
France,5,Kerguelen Islands,x
France,11,New Caledonia,x
France,12,Wallis and Futuna,x
United States,-12,Baker Island and Howland Island,x
United States,-11,American Samoa,x
United States,-10,Hawaii,x
United States,-9,most of the state of Alaska,x
United States,-8,California,x
United States,-7,Arizona,x
United States,-6,Gulf Coast,x
United States,-5,the states on the Atlantic coast,x
United States,-4,Puerto Rico,x
United States,10,Guam and the Northern Mariana Islands,x
United States,12,Wake Island,x
Russia,2,Kaliningrad Oblast,x
Russia,3,Most of European Russia and all railroads throughout Russia,x
Russia,4,Astrakhan Oblast,x
Russia,5,Bashkortostan,x
Russia,6,Kemerovo Oblast,x
Russia,7,Altai Krai,x
Russia,8,Buryatia and Irkutsk Oblast,x
Russia,9,Amur Oblast,x
Russia,10,The Jewish Autonomous Oblast,x
Russia,11,Eastern Sakha and Sakhalin Oblast,x
Russia,12,Chukotka and Kamchatka Krai,x
United Kingdom,-8,Pitcairn Islands,x
United Kingdom,-5,Cayman Islands,x
United Kingdom,-4,Anguilla,x
United Kingdom,-3,Falkland Islands,x
United Kingdom,-2,South Georgia and the South Sandwich Islands,x
United Kingdom,1,Gibraltar,x
United Kingdom,2,Akrotiri and Dhekelia,x
United Kingdom,6,British Indian Ocean Territory,x
Australia,5,Heard and McDonald Islands,x
Australia,6.5,Cocos (Keeling) Islands,x
Australia,7,Christmas Island,x
Australia,8,Western Australia,x
Australia,9.5,South Australia,x
Australia,10,Queensland,x
Australia,10.5,Lord Howe Island,x
Australia,11,Norfolk Island,x
Canada,-8,larger western part of British Columbia,x
Canada,-7,Alberta,x
Canada,-6,Manitoba,x
Canada,-5,Nunavut east and entire Southampton Island,x
Canada,-4,Labrador (all but southeastern tip),x
Canada,-3.5,Labrador (southeastern),x
Kingdom of Denmark,-4,Thule Air Base in Greenland,x
Kingdom of Denmark,-3,most of Greenland,x
Kingdom of Denmark,-1,Ittoqqortoormiit and surrounding area in Greenland's Tunu county,x
Kingdom of Denmark,1,metropolitan Denmark,x
New Zealand,-11,Niue,x
New Zealand,-10,Cook Islands,x
New Zealand,12,main territory of New Zealand,x
New Zealand,12.75,Chatham Islands,x
New Zealand,13,Tokelau,x
Brazil,-5,Acre and Southwestern Amazonas,x
Brazil,-4,Most part of the Amazonas State,x
Brazil,-3,the Southeast Region,x
Brazil,-2,few islands on the east coast of Brazil (Fernando de Noronha),x
Mexico,-8,the state of Baja California,x
Mexico,-7,the states of Baja California Sur,x
Mexico,-6,most of Mexico,x
Mexico,-5,the state of Quintana Roo,x
Indonesia,7,islands of Sumatra,x
Indonesia,8,islands of Sulawesi,x
Indonesia,9,provinces of Maluku,x
Kiribati,12,Gilbert Islands,x
Kiribati,13,Phoenix Islands,x
Kiribati,14,Line Islands,x
Chile,-5,Easter Island,x
Chile,-3,main territory,x
Democratic Republic of the Congo,1,western part of the country,x
Democratic Republic of the Congo,2,eastern part of the country,x
Ecuador,-6,Galapagos Province,x
Ecuador,-5,main territory of Ecuador,x
Federated States of Micronesia,10,the states of Chuuk and Yap,x
Federated States of Micronesia,11,the states of Kosrae and Pohnpei,x
Kazakhstan,5,western Kazakhstan,x
Kazakhstan,6,eastern Kazakhstan,x
Kingdom of the Netherlands,-4,Caribbean municipalities and constituent countries,x
Kingdom of the Netherlands,1,main territory of the Netherlands,x
Mongolia,7,the provinces of Khovd,x
Mongolia,8,most of the country,x
Papua New Guinea,10,most of the country,x
Papua New Guinea,11,Autonomous Region of Bougainville,x
South Africa,2,South Africa main territory,x
South Africa,3,Prince Edward Islands,x
